"%s Item(s)","новостей: %s"
"* Required Fields","* обязательные поля"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Относительно директории текущей skin например'images/rsslogo.jpg'."
"Return to","Вернуться в"
"Return to ","Вернуться в"
"Route to Blog","Путь к статьям"
"RSS Feed","RSS фид"
"RSS Feed Image","Картинка RSS фида"
"RSS Posts to Show","Новости для показа в RSS фиде"
"Save Category","Сохранить рубрику"
"Save Comment","Сохранить комментарий"
"Save Post","Сохранить новость"
"Set Ascending Direction","нажмите, чтобы упорядочить по возрастанию"
"Set Descending Direction","нажмите, чтобы упорядочить по убыванию"
"Settings","Настройки"
"Show","по"
"Show Bookmarks in Lists","Показывать закладки в списках"
"Show Bookmarks in Posts","Показывать закладки в новостях"
"Show Breadcrumbs","Показывать breadcrumbs (напр. Главная > Новости)"
"Sort By","порядок:"
"Sort Order","Порядок"
"Status","Статус"
"Store View","Вид магазина"
"Submit Comment","Отправить комментарий"
"Summary Character Count","Количество символов"
"The number of recent post to be displayed in the menu. 0 to disable.","Количество свежих новостей для показа в меню. 0 значит Отключить"
"The number of posts displayed per page. Set 0 to disable pagination.","Количество новостей на странице. 0 означает отключить разбивку на страницы."
"Title","Заголовок"
"to log in","войти"
"Total of %d comment(s) were successfully approved","Всего %d комментариев было одобрено"
"Total of %d comment(s) were successfully unapproved","Всего %d комментариев было отвергнуто"
"Total of %d comments(s) were successfully deleted","Всего %d комментариев было удалено"
"Total of %d record(s) were successfully deleted","Всего %d записей было удалено"
"Total of %d record(s) were successfully updated","Всего %d записей было обновлено"
"Unable to find category to save","Рубрика не найдена"
"Unable to find comment to save","Комментарий не найден"
"Unable to find post to save","Новость не найдена"
"Unable to submit your comment. Please, try again later","Не удается отправить ваш комментарий. Пожалуйста попробуйте позже."
"Unapprove","Отвергнуть"
"Updated","Обновлено"
"User","Пользователь"
"You must be logged in to comment.","Для комментирования, пожалуйста, авторизуйтесь."
"You must be logged in to post a comment.","Для комментирования, пожалуйста, авторизуйтесь."
"Your comment has been submitted and is awaiting approval.","Ваш комментарий отправлен и ожидает подтверждения администратором."
"Your comment has been submitted.","Ваш комментарий отпарвлен"
"Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value.","если задать напр. ""news"" то блог будет доступен по адресу 'domena.cz/news'. Не должен содержать символов косая черта (слеш). Если уставить пустым, то 'blog'."
"< Newer Posts","&laquo; Раньше"
"Older Posts >","Позже &raquo;"
