"%s; rev #%s","%s; редакция №%s"
"Access Level","Доступ"
"Empty Value disables Page Locking. Non-Empty Values less than 120 are ignored.","Измеряется в секундах (натуральное число).<br/>Минимальное значение: «120».<br/>Блокировка позволяет при редактировании оглавления защититься от параллельного редактирования оглавления другими редактором.<br/>Пустое значение отключает блокировку вовсе."
"Enable Hierarchy Functionality","Вести учёт оглавления?"
"Enable Hierarchy Metadata","Вести учёт метаданных для оглавления?"
"Enable Navigation Menu","Включить?"
"Enable Pagination","Включить?"
"Enabled by Default","Enabled by Default"
"Error in saving hierarchy.","При сохранении оглавления произошёл сбой."
"Error while deleting revision. Please try again later.","При удалении редакции произошёл сбой."
"Error while deleting revisions. Please try again later.","При удалении редакций произошёл сбой."
"Error while deleting version. Please try again later.","При удалении варианта прозошёл сбой."
"Error while deleting versions. Please try again later.","При удалении вариантов прозошёл сбой."
"Exclude from Navigation Menu","Убрать из всех меню?"
"Frame","Страниц на экране"
"Frame Skip","Шаг для «...»"
"Hierarchy","Место в оглавлении"
"Hierarchy Page Lock Timeout (seconds)","Продолжительность блокировки данных при редактировании оглавления"
"Hierarchy has been successfully saved.","Оглавление сохранено."
"How many Links to display at once","Сколько дочерних страниц показывать на одном экране"
"If empty, will use the Node or Page Name","If empty, will use the Node or Page Name"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","На какое количество страниц-экранов требуется пролистать список при нажатии на ссылку «...»?"
"Invalid node data","Invalid node data"
"Label for version is required field.","Укажите название варианта."
"Left Column","левая колонка"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"List Style","Маркер элементов"
"List Type","Нумеровать элементы?"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Manage Content","Страницы"
"Manage Hierarchy","Оглавление"
"Manage Pages Hierarchy","Оглавление"
"Maximal Depth","Maximal Depth"
"Menu Detalization","Включить в меню соседние разделы?"
"Menu Layout","Расположение"
"N/A","N/A"
"Navigation Menu Options","Специализированное меню для оглавления"
"Neighbours and Children","да"
"New Page","Новая страница"
"New Revision","Новая редакция"
"New Revision...","Новая редакция..."
"New version was successfully created.","Вариант создан."
"Next","Next"
"No","нет"
"No Nodes available","No Nodes available"
"No preview available","No preview available"
"Node","Раздел"
"Node Levels to Include","Непустное значение данного параметра<br/>позволяет ограничить количество уровней вложенности меню"
"Node Properties","Параметры раздела"
"Node with same URL Key already exists.","Node with same URL Key already exists."
"Numbers (1, 2, 3, ...)","Numbers (1, 2, 3, ...)"
"Only Children","нет"
"Ordered","да (тег OL)"
"Owner","Владелец"
"Page ID","Page ID"
"Page Properties","Параметры страницы"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","Блокировка страницы истекает через 1 минуту. Сохраните данные."
"Page:","Page:"
"Page Preview","Пример отображения"
"Pages","Страницы"
"Pages Hierarchy","Оглавление"
"Pagination Options for Nested Pages","Постраничная разбивка списка дочерних страниц"
"Please select revision(s)","Укажите редакцию (или несколько)"
"Please select version(s)","Укажите вариант (или несколько)"
"Preview","Показать на витрине"
"Previous","Previous"
"Private","Private"
"Protected","Protected"
"Public","Public"
"Publish","Опубликовать"
"Publish Revision","Опубликовать редакцию"
"Published","Опубликована"
"Published Revision Unavailable","Опубликованная редакция страницы недоступна"
"Remove From Tree","Удалить раздел"
"Render Metadata in HTML Head","Метаописание для поисковых роботов и браузеров"
"Revision #","Редакция №"
"Revision #%s","Редакция №%s"
"Revision #%s could not be removed because it is published.","Нельзя удалять редакцию №%s, потому что она опубликована на витрине."
"Revision Information","Редакция"
"Revision was successfully deleted.","Редакция удалена."
"Revision was successfully published.","Редакция опубликована на витрине."
"Revision was successfully saved.","Редакция сохранена."
"Revisions Qty","Количество редакций"
"Right Column","правая колонка"
"Root","Root"
"Save","Сохранить и вернуться"
"Save Pages Hierarchy","Сохранить данные"
"Save Revision and Version","Сохранить редакцию и весь вариант"
"Save and Continue Edit","Сохранить и остаться"
"Save and Publish","Сохранить и опубликовать"
"Save as New Version","Сохранить в виде нового варианта"
"Save in New Version...","Сохранить в виде нового варианта..."
"Select Page or Node...","Укажите страницу или раздел..."
"Specify New Version Name (required)","Укажите название нового варианта"
"Square","квадратик: ■"
"Template","Template"
"There are unsaved node data. Are you sure you want to proceed?","There are unsaved node data. Are you sure you want to proceed?"
"This Page Belongs To","Разделы"
"This Page is locked by '%s'.","This Page is locked by '%s'."
"This Page is locked by you.","Данные заблокированы Вами от изменений другими редакторами."
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Страница с указанным веб-адресом уже существует. Выберите другой веб-адрес."
"This page is currently locked.","This page is currently locked."
"Title","Название"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Tree Viewed","Tree Viewed"
"URL Key","Адрес"
"Unable to find a revision to delete.","Указанная к удалению редакция не найдена."
"Unable to find a version to delete.","Указанный к удалению вариант не найден."
"Under Version Control","Вести учёт вариантов и редакций?"
"Unlock This Page","Unlock This Page"
"Unordered","нет (тег UL)"
"Unpublished","Скрыта"
"Update","Update"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Use Parent","использовать настройки родительской рубрики"
"Use Default","указанное в общих настройках модуля"
"Version ""%s"" could not be removed because it is last public version for its page.","Нельзя удалять вариант «%s», потому что у страницы должен быть хотя бы один общедоступный вариант, а тот вариант, который Вы хотите удалить, сейчас является единственным общедоступным вариантом данной страницы."
"Version ""%s"" could not be removed because its revision has been published.","Нельзя удалять вариант «%s», потому что одна из его редакций опубликована на витрине."
"Version #","Вариант №"
"Version Control?","Вести учёт<br/>вариантов<br/>и редакций?"
"Version Information","Параметры варианта"
"Version Label","Название варианта"
"Version Revisions","Редакции варианта"
"Version was successfully deleted.","Вариант удалён."
"Version was successfully saved.","Вариант сохранён."
"Version:","Вариант:"
"Versions","Варианты"
"Website Root","Корень"
"Yes","да"
"You should specify valid name","You should specify valid name"
"[No Owner]","[No Owner]"
"Page","страница"
"Total %d records found","всего записей: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
